17:42:12:763 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:42:12:765 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:42:22:990 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:42:22:991 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:42:23:610 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:42:23:629 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:42:25:266 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:45:19:425 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:45:31:832 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:45:31:874 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:45:32:108 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:45:32:109 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:45:42:510 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:45:42:541 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:45:59:897 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:46:11:285 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:46:11:286 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:49:19:892 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:49:26:176 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:49:26:182 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:49:26:592 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:49:26:594 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:49:36:911 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:49:36:914 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:49:50:054 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:50:02:465 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
